dimension,severity,id,name,detail
D3_category_subgroup_mismatch,HIGH,bedca_0013,Repollo,"{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0019,"Zanahoria, cruda","{""category"": ""vegetables"", ""subgroup"": ""root_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0022,Borraja,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0038,Rabano,"{""category"": ""vegetables"", ""subgroup"": ""root_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0042,"Acelga, cruda","{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0056,"Apio, crudo","{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0063,Canonigos,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0069,Datil,"{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0078,Ajo,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0079,Cebolla,"{""category"": ""vegetables"", ""subgroup"": ""allium"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0083,Escarola,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0086,Uva pasa,"{""category"": ""fruits"", ""subgroup"": ""nuts_seeds"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""tropical""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0093,Cilantro,"{""category"": ""other"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""other""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0098,"Esparragos blanco, en conserva","{""category"": ""vegetables"", ""subgroup"": ""stalk_veg"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0106,Endibia,"{""category"": ""vegetables"", ""subgroup"": ""leafy"", ""allowed_sample"": [""fruiting_veg"", ""other_veg"", ""vegetables""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0110,Eneldo,"{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0111,Romero,"{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
D3_category_subgroup_mismatch,HIGH,bedca_0112,Comino,"{""category"": ""carbs"", ""subgroup"": ""vegetables"", ""allowed_sample"": [""fruit"", ""frutos_bosque"", ""grains"", ""legumes"", ""other_carbs""]}"
