id,name,category,subgroup_before,subgroup_after,changed,confidence,reason
bedca_0003,Melocotón en almíbar,carbs,,fruit,True,85,"Melocotón en conserva, sigue siendo fruta"
bedca_0005,Zumo de piña,carbs,,fruit,True,95,Zumo de fruta 100%
bedca_0006,Salsa agridulce,other,,other,True,80,"Salsa procesada, no encaja claro"
bedca_0007,Empanadilla,other,,other,True,85,Producto ultraprocesado mixto
bedca_0010,Judía pinta,carbs,,legumes,True,99,Legumbre clásica española
bedca_0011,"Cerdo, parte s/e",protein,,meat,True,99,Carne de cerdo
bedca_0013,Repollo,carbs,,vegetables,True,99,Verdura de hoja
bedca_0017,Cubito de caldo,other,,other,True,90,"Ultra procesado, no es alimento base"
bedca_0018,Albahaca,other,,vegetables,True,75,"Hierba aromática, se asocia a verduras"
bedca_0020,"Chicle, sin azucar",other,,other,True,90,Producto no alimentario significativo
bedca_0025,Foie gras,fat,,other_fat,True,85,"Grasa animal procesada, no encaja"
bedca_0026,Lasaña,dairy,,other_dairy,True,80,Plato preparado con lácteos
bedca_0027,Gofio,carbs,,grains,True,95,Harina de cereales tostada
bedca_0029,Mostaza,other,,other,True,85,Condimento procesado
bedca_0030,Salsa de soja,carbs,,other_carbs,True,70,"Salsa, no es cereal base"
bedca_0032,Gusanito,carbs,,sweets_bakery,True,80,Snack ultraprocesado salado
bedca_0034,Carne picada,protein,,meat,True,99,Carne picada de animal
bedca_0044,"Pijota, cruda",dairy,,fresh_cheese,True,85,Queso fresco magro típico
bedca_0050,Judía blanca,carbs,,legumes,True,99,Legumbre clásica española
bedca_0057,Caracol,protein,,other_protein,True,85,Proteína de origen animal atípico
bedca_0059,Ternera. parte s/e,protein,,meat,True,99,Carne de ternera
bedca_0066,"Soja, germinada, en conserva",carbs,,vegetables,True,75,Brotes consumidos como verdura
bedca_0078,Ajo,other,,vegetables,True,95,Hortaliza bulbosa clásica
bedca_0084,Agua de la red,other,,other,True,95,"Agua, no es alimento"
bedca_0085,Zumo de naranja,carbs,,fruit,True,95,Zumo de fruta natural
bedca_0089,"Cereales, en polvo, solubles (eko)",carbs,,grains,True,75,"Cereal soluble, deriva de granos"
bedca_0091,Sesamo molido,protein,,other_protein,True,55,Semilla grasa sin opción adecuada
bedca_0092,"Ajo, en polvo",carbs,,vegetables,True,72,Especia derivada de hortaliza
bedca_0093,Cilantro,other,,vegetables,True,90,Hierba aromática fresca
bedca_0095,Canelones,dairy,,other_dairy,True,45,"Plato preparado, no es lácteo"
bedca_0096,"Agua mineral, mineralización debil",other,,other,True,95,Agua sin valor calórico
bedca_0099,Limonada,other,,other,True,80,Bebida azucarada no fruta
bedca_0100,Alcaparra,other,,other,True,70,"Condimento encurtido, no hortaliza"
bedca_0102,Tocino,dairy,,other_dairy,True,40,"Carne procesada, sin opción válida"
bedca_0110,Eneldo,carbs,,vegetables,True,90,Hierba aromática fresca
bedca_0111,Romero,carbs,,vegetables,True,88,Especia de planta aromática
bedca_0112,Comino,carbs,,vegetables,True,88,Especia de planta aromática
bedca_0113,Tomillo,carbs,,vegetables,True,88,Especia de planta aromática
bedca_0118,Sopa de sobre maravilla,carbs,,other_carbs,True,78,Ultra procesado de fideos
bedca_0119,Semilla de lino,protein,,other_protein,True,55,Semilla sin opción correcta
bedca_0123,"Lenteja, hervida",carbs,,legumes,True,100,Legumbre cocida clásica
