id,name,fix_type,before,after
bedca_0004,Pan de centeno,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0068,"Pan blanco, de barra",pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0177,"Pan integral, sin sal",pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0291,"Pan integral, tostado",pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0342,"Pan blanco, tipo ""baguette""",pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0343,"Pan blanco, de barra, sin sal",pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0371,Pan tipo baguette,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0380,"Pan blanco, integral",pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0421,Arroz,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
bedca_0586,Pan integral,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0911,Pan de cebada,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
bedca_0918,Pan de maíz,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_f286cde0a1,Macarrones Boloñesa,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_dc92d31c04,Tallarines a la carbonara,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_cf11183ce4,Maiz gigante sabor BBQ,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_951f2f5bb1,Maiz crudo,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_7701a53d34,Penne integral,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_f6a334f1a7,Macarron alto contenido en fibra,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_9384cb8cd7,Bulgur,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_71de181b4b,Quinoa BIO,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_41ea3cd98f,Pan de molde cereales y semillas,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_9e1616395e,Pan de molde integral 15 cereales y semillas,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_d79af1bc2e,Pan de molde multicereales Auchan,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_4f7fbe5d1e,Pan de molde 12 cereales y semillas,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_a02cc36c0d,Pan con cereales y semillas,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_99a1a160a3,Pan de molde 12 semillas y cereales,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_da353f1cf9,Pan de molde 100% integral de trigo,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_5121e8b473,8 tortillas de trigo con maíz,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_cfcc9caa45,Pan De Molde Multicereales,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_19682e3d6c,Tortillas trigo,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_5a712ccfe9,Pan de molde integral de trigo,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_2889d595ba,Pan 6 cereales,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_52d1d0d809,Pan de trigo espelta 100%,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_9615c5c00f,Pan ácimo,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_599ef077d1,Macarrón grande,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
